loja,product_id,produto,variacao_shopee,sku_pai,sku_variacao
print_tech3d,22198085056,Reparo de Tomada 4x2 Angulado,"somente parafusos,4",ELE-TOMADAANG,ELE-TOMADAANG-PLA-SPA-04
print_tech3d,22198085056,Reparo de Tomada 4x2 Angulado,"somente parafusos,6",ELE-TOMADAANG,ELE-TOMADAANG-PLA-SPA-06
print_tech3d,22198085056,Reparo de Tomada 4x2 Angulado,"somente parafusos,8",ELE-TOMADAANG,ELE-TOMADAANG-PLA-SPA-08
print_tech3d,22198085056,Reparo de Tomada 4x2 Angulado,"somente parafusos,10",ELE-TOMADAANG,ELE-TOMADAANG-PLA-SPA-10
print_tech3d,22198085056,Reparo de Tomada 4x2 Angulado,"Sem parafusos,2",ELE-TOMADAANG,ELE-TOMADAANG-PLA-SPF-02
print_tech3d,22198085056,Reparo de Tomada 4x2 Angulado,"Sem parafusos,4",ELE-TOMADAANG,ELE-TOMADAANG-PLA-SPF-04
print_tech3d,22198085056,Reparo de Tomada 4x2 Angulado,"Sem parafusos,6",ELE-TOMADAANG,ELE-TOMADAANG-PLA-SPF-06
print_tech3d,22198085056,Reparo de Tomada 4x2 Angulado,"Sem parafusos,8",ELE-TOMADAANG,ELE-TOMADAANG-PLA-SPF-08
print_tech3d,22198085056,Reparo de Tomada 4x2 Angulado,"Sem parafusos,10",ELE-TOMADAANG,ELE-TOMADAANG-PLA-SPF-10
print_tech3d,22198085056,Reparo de Tomada 4x2 Angulado,"parafusos + buchas,2",ELE-TOMADAANG,ELE-TOMADAANG-PLA-CPB-02
print_tech3d,22198085056,Reparo de Tomada 4x2 Angulado,"parafusos + buchas,4",ELE-TOMADAANG,ELE-TOMADAANG-PLA-CPB-04
print_tech3d,22198085056,Reparo de Tomada 4x2 Angulado,"parafusos + buchas,6",ELE-TOMADAANG,ELE-TOMADAANG-PLA-CPB-06
print_tech3d,22198085056,Reparo de Tomada 4x2 Angulado,"parafusos + buchas,8",ELE-TOMADAANG,ELE-TOMADAANG-PLA-CPB-08
print_tech3d,22198085056,Reparo de Tomada 4x2 Angulado,"parafusos + buchas,10",ELE-TOMADAANG,ELE-TOMADAANG-PLA-CPB-10
print_tech3d,22394519369,Vela fantasma flutuante halloween,Baixa (7CM),DEC-FANTASMA,DEC-FANTASMA-PLA-STD-P
print_tech3d,22394519369,Vela fantasma flutuante halloween,Alta (9CM),DEC-FANTASMA,DEC-FANTASMA-PLA-STD-G
print_tech3d,22393533403,Kit Cortadores Coracao 3 Tamanhos,-,COR-CORACAO,COR-CORACAO-PLA-STD-U
print_tech3d,22493616596,Kit Cortadores Tema Pascoa 5 Desenhos,-,COR-PASCOA5,COR-PASCOA5-PLA-STD-U
print_tech3d,22598785656,Acessorio extra colecao Urban,Oculos Sol,BON-URBANACES,BON-URBANACES-PLA-OSO-U
print_tech3d,22598785656,Acessorio extra colecao Urban,Oculos Grau,BON-URBANACES,BON-URBANACES-PLA-OGR-U
print_tech3d,22598785656,Acessorio extra colecao Urban,Blusa,BON-URBANACES,BON-URBANACES-PLA-BLU-U
print_tech3d,22598785656,Acessorio extra colecao Urban,Calca,BON-URBANACES,BON-URBANACES-PLA-CAL-U
print_tech3d,22598785656,Acessorio extra colecao Urban,Tenis,BON-URBANACES,BON-URBANACES-PLA-TEN-U
print_tech3d,22598068918,Cortador com carimbo Boneco de gengibre,-,COR-GENGIBRE,COR-GENGIBRE-PLA-STD-G
print_tech3d,22493628876,Vasinho suculenta Pac Man,Laranja,VAS-PACMAN,VAS-PACMAN-PLA-LRJ-P
print_tech3d,22493628876,Vasinho suculenta Pac Man,Azul Transformado,VAS-PACMAN,VAS-PACMAN-PLA-AZT-P
print_tech3d,22493628876,Vasinho suculenta Pac Man,Amarelo Pac Man,VAS-PACMAN,VAS-PACMAN-PLA-AMR-P
print_tech3d,22493628876,Vasinho suculenta Pac Man,Vermelho Neon,VAS-PACMAN,VAS-PACMAN-PLA-VNE-P
print_tech3d,22493628876,Vasinho suculenta Pac Man,Azul,VAS-PACMAN,VAS-PACMAN-PLA-AZL-P
print_tech3d,22493628876,Vasinho suculenta Pac Man,Vermelho,VAS-PACMAN,VAS-PACMAN-PLA-VRM-P
print_tech3d,22493628876,Vasinho suculenta Pac Man,Rosa Bebe,VAS-PACMAN,VAS-PACMAN-PLA-RSA-P
print_tech3d,23198069098,Suporte Celular banco concha recaro,-,SUP-RECARO,SUP-RECARO-PLA-STD-U
print_tech3d,22694522409,Lanterna dos Mortos-Vivos halloween,-,DEC-LANTERNA,DEC-LANTERNA-PLA-STD-U
print_tech3d,22793822661,Boneco figure Taz-Mania,-,BON-TAZ,BON-TAZ-PLA-STD-U
print_tech3d,22894678563,Kit 3 Mini Anjinhos Natalinos,1,DEC-ANJINHOS,DEC-ANJINHOS-PLA-V1-U
print_tech3d,22894678563,Kit 3 Mini Anjinhos Natalinos,2,DEC-ANJINHOS,DEC-ANJINHOS-PLA-V2-U
print_tech3d,22894678563,Kit 3 Mini Anjinhos Natalinos,3,DEC-ANJINHOS,DEC-ANJINHOS-PLA-V3-U
print_tech3d,22894678563,Kit 3 Mini Anjinhos Natalinos,4,DEC-ANJINHOS,DEC-ANJINHOS-PLA-V4-U
print_tech3d,22894678563,Kit 3 Mini Anjinhos Natalinos,Com detalhes,DEC-ANJINHOS,DEC-ANJINHOS-PLA-DET-U
print_tech3d,22899343203,Taca da copa do mundo 2026,10 CM,DEC-TACACOPA,DEC-TACACOPA-PLA-STD-P
print_tech3d,22899343203,Taca da copa do mundo 2026,15 CM,DEC-TACACOPA,DEC-TACACOPA-PLA-STD-M
print_tech3d,22899343203,Taca da copa do mundo 2026,20 CM,DEC-TACACOPA,DEC-TACACOPA-PLA-STD-G
print_tech3d,22899343203,Taca da copa do mundo 2026,Chaveiro,DEC-TACACOPA,DEC-TACACOPA-PLA-STD-CHV
print_tech3d,22898063650,Cortador com carimbo Papai Noel,-,COR-PAPAINOEL,COR-PAPAINOEL-PLA-STD-U
print_tech3d,23194421924,Boneco figure Looney Tunes Versao Mini,Frajola,BON-LOONEY,BON-LOONEY-PLA-FRA-P
print_tech3d,23194421924,Boneco figure Looney Tunes Versao Mini,Pernalonga,BON-LOONEY,BON-LOONEY-PLA-PER-P
print_tech3d,23194421924,Boneco figure Looney Tunes Versao Mini,Patolino,BON-LOONEY,BON-LOONEY-PLA-PAT-P
print_tech3d,23194421924,Boneco figure Looney Tunes Versao Mini,Kit com os 3 personagens,BON-LOONEY,BON-LOONEY-PLA-KIT-P
print_tech3d,23194662959,Anjo com Vela Eletronica Natal,-,DEC-ANJOVELA,DEC-ANJOVELA-PLA-STD-U
print_tech3d,23398932121,Kit Hotend Troca Rapida Bambu Lab A1,0.4,IMP-HOTEND,IMP-HOTEND-PLA-STD-04
print_tech3d,23298184310,Cortador Pata de Cachorro e Gato,Pata gato,COR-PATAPET,COR-PATAPET-PLA-GAT-U
print_tech3d,23298184310,Cortador Pata de Cachorro e Gato,Pata cachorro,COR-PATAPET,COR-PATAPET-PLA-CAO-U
print_tech3d,23298184310,Cortador Pata de Cachorro e Gato,Patinhas,COR-PATAPET,COR-PATAPET-PLA-PAT-U
print_tech3d,23298184310,Cortador Pata de Cachorro e Gato,Todos,COR-PATAPET,COR-PATAPET-PLA-KIT-U
print_tech3d,23399309521,Escultura Nossa Senhora,8 (CM),DEC-NSENHORA,DEC-NSENHORA-PLA-STD-08
print_tech3d,23399309521,Escultura Nossa Senhora,10 (CM),DEC-NSENHORA,DEC-NSENHORA-PLA-STD-10
print_tech3d,23399309521,Escultura Nossa Senhora,14 (CM),DEC-NSENHORA,DEC-NSENHORA-PLA-STD-14
print_tech3d,23399309521,Escultura Nossa Senhora,16 (CM),DEC-NSENHORA,DEC-NSENHORA-PLA-STD-16
print_tech3d,23593677882,Cortador pascoa religioso Jesus Premium,Maozinha,COR-PASCJESUS,COR-PASCJESUS-PLA-MAO-U
print_tech3d,23593677882,Cortador pascoa religioso Jesus Premium,Cruz,COR-PASCJESUS,COR-PASCJESUS-PLA-CRU-U
print_tech3d,23593677882,Cortador pascoa religioso Jesus Premium,Janela,COR-PASCJESUS,COR-PASCJESUS-PLA-JAN-U
print_tech3d,23493624785,Kit 2un Suporte de parede para capacete,Parafuso + Buchas,SUP-CAPACETE,SUP-CAPACETE-PLA-CPB-02
print_tech3d,23493624785,Kit 2un Suporte de parede para capacete,Sem buchas,SUP-CAPACETE,SUP-CAPACETE-PLA-SBU-02
print_tech3d,23493624785,Kit 2un Suporte de parede para capacete,Somente parafusos,SUP-CAPACETE,SUP-CAPACETE-PLA-SPA-02
print_tech3d,23698114197,Kit chaveiro 3 soldados Round 6,-,CHV-ROUND6,CHV-ROUND6-PLA-STD-U
print_tech3d,23493830529,Jogo Round 6 Gonggi pedrinhas,Pedrinhas + Suporte,BRQ-GONGGI,BRQ-GONGGI-PLA-CSU-U
print_tech3d,23493830529,Jogo Round 6 Gonggi pedrinhas,Pedrinhas,BRQ-GONGGI,BRQ-GONGGI-PLA-SPE-U
print_tech3d,23993518134,Kit Cortadores Tema Natal 7 Desenhos,-,COR-NATAL7,COR-NATAL7-PLA-STD-U
print_tech3d,23793542286,Dock carregador MagSafe Samsung S23,Preto,SUP-DOCKS23,SUP-DOCKS23-PLA-PRT-U
print_tech3d,23793542286,Dock carregador MagSafe Samsung S23,Branco,SUP-DOCKS23,SUP-DOCKS23-PLA-BRC-U
print_tech3d,23793542286,Dock carregador MagSafe Samsung S23,Cinza,SUP-DOCKS23,SUP-DOCKS23-PLA-CNZ-U
print_tech3d,23993584449,Escorredor de talheres elefante,Preto,ORG-ELEFANTE,ORG-ELEFANTE-PLA-PRT-U
print_tech3d,23993584449,Escorredor de talheres elefante,Branco,ORG-ELEFANTE,ORG-ELEFANTE-PLA-BRC-U
print_tech3d,58252790794,Mini Maozinha Dedoche,Azul,BRQ-DEDOCHE,BRQ-DEDOCHE-PLA-AZL-U
print_tech3d,58252790794,Mini Maozinha Dedoche,Marrom,BRQ-DEDOCHE,BRQ-DEDOCHE-PLA-MRR-U
print_tech3d,58252790794,Mini Maozinha Dedoche,Branco,BRQ-DEDOCHE,BRQ-DEDOCHE-PLA-BRC-U
print_tech3d,58252790794,Mini Maozinha Dedoche,Preto,BRQ-DEDOCHE,BRQ-DEDOCHE-PLA-PRT-U
print_tech3d,58252790794,Mini Maozinha Dedoche,Bege,BRQ-DEDOCHE,BRQ-DEDOCHE-PLA-BEG-U
print_tech3d,58252790794,Mini Maozinha Dedoche,Verde,BRQ-DEDOCHE,BRQ-DEDOCHE-PLA-VRD-U
print_tech3d,58204523207,Impressora 3D Flashforge AD5X com Kit,-,IMP-FLASHAD5X,IMP-FLASHAD5X-PLA-STD-U
print_tech3d,23998051904,Nicho Expositor miniaturas 1/64 10 Posicoes,Preto,ORG-NICHO164,ORG-NICHO164-PLA-PRT-U
print_tech3d,23998051904,Nicho Expositor miniaturas 1/64 10 Posicoes,Cinza Escuro,ORG-NICHO164,ORG-NICHO164-PLA-CNE-U
print_tech3d,23998051904,Nicho Expositor miniaturas 1/64 10 Posicoes,Cinza Claro,ORG-NICHO164,ORG-NICHO164-PLA-CNC-U
print_tech3d,58203679791,Eliminador Corta Neve Bajaj Dominar NS 400,-,AUT-BAJAJNS400,AUT-BAJAJNS400-PLA-STD-U
luizmiguelsebastiani,58256064989,Suporte de parede para capacete,Somente parafusos,SUP-CAPACETE,SUP-CAPACETE-PLA-SPA-U
luizmiguelsebastiani,58256064989,Suporte de parede para capacete,Parafuso + Buchas,SUP-CAPACETE,SUP-CAPACETE-PLA-CPB-U
luizmiguelsebastiani,58256064989,Suporte de parede para capacete,Sem buchas,SUP-CAPACETE,SUP-CAPACETE-PLA-SBU-U
luizmiguelsebastiani,58206077097,Acessorio extra colecao Urban,Calca,BON-URBANACES,BON-URBANACES-PLA-CAL-U
luizmiguelsebastiani,58206077097,Acessorio extra colecao Urban,Tenis,BON-URBANACES,BON-URBANACES-PLA-TEN-U
luizmiguelsebastiani,58206077097,Acessorio extra colecao Urban,Oculos Sol,BON-URBANACES,BON-URBANACES-PLA-OSO-U
luizmiguelsebastiani,58206077097,Acessorio extra colecao Urban,Oculos Grau,BON-URBANACES,BON-URBANACES-PLA-OGR-U
luizmiguelsebastiani,58206077097,Acessorio extra colecao Urban,Blusa,BON-URBANACES,BON-URBANACES-PLA-BLU-U
luizmiguelsebastiani,58216617690,Porta Ampolas 3ml 4 Compartimentos,Rosa,ORG-AMPOLA3ML,ORG-AMPOLA3ML-PLA-RSA-U
luizmiguelsebastiani,58216617690,Porta Ampolas 3ml 4 Compartimentos,Azul,ORG-AMPOLA3ML,ORG-AMPOLA3ML-PLA-AZL-U
luizmiguelsebastiani,58216617690,Porta Ampolas 3ml 4 Compartimentos,Amarelo,ORG-AMPOLA3ML,ORG-AMPOLA3ML-PLA-AMR-U
luizmiguelsebastiani,58216617690,Porta Ampolas 3ml 4 Compartimentos,Vermelho,ORG-AMPOLA3ML,ORG-AMPOLA3ML-PLA-VRM-U
luizmiguelsebastiani,58216617690,Porta Ampolas 3ml 4 Compartimentos,Durado,ORG-AMPOLA3ML,ORG-AMPOLA3ML-PLA-DRD-U
luizmiguelsebastiani,58216617690,Porta Ampolas 3ml 4 Compartimentos,Preto,ORG-AMPOLA3ML,ORG-AMPOLA3ML-PLA-PRT-U
luizmiguelsebastiani,58216617690,Porta Ampolas 3ml 4 Compartimentos,Branco,ORG-AMPOLA3ML,ORG-AMPOLA3ML-PLA-BRC-U
luizmiguelsebastiani,58216617690,Porta Ampolas 3ml 4 Compartimentos,Bege,ORG-AMPOLA3ML,ORG-AMPOLA3ML-PLA-BEG-U
